gene_cluster	n_genes	adrenal_gland	brain	cecum	cerebellum	colon	eye	heart	hippocampus	kidney	liver	lung	mammary_gland	optic_nerve	retina	skeletal_muscle	skin	spleen	thymus	unknown
0	2574	2653.45	860.7138	641.8366	1138.5471	2000.746	2894.678	1536.5497	880.8044	2747.018	1541.5365	2219.8806	1620.321	2611.4546	1800.3605	1744.1432	1578.6808	681.6699	1029.3511	630.69275
1	1802	799.39813	395.75122	208.92113	489.46548	604.9681	932.07104	390.62958	392.96902	581.1761	442.91107	629.8335	513.07465	794.1798	678.60406	400.80606	597.8651	439.12665	479.0729	221.07515
2	1954	0.92169905	0.82575256	0.79309267	1.0358397	1.0779707	1.9245992	0.67374927	1.0182577	0.92510885	0.67077535	1.6786959	0.7083621	4.195043	1.5158846	1.2053835	1.2903467	1.15609	1.1837012	0.5633973
3	1721	49.44531	27.823374	27.902891	34.909546	57.34415	87.580284	29.64379	29.716177	42.498108	40.505844	96.24302	47.433388	162.99088	64.71685	56.0844	81.337135	59.338943	56.281353	20.555328
4	2310	534.75024	251.72777	139.37476	300.74747	401.46536	633.56744	273.69138	257.09006	369.1583	250.9901	456.1468	353.59973	620.2353	417.6553	312.87415	415.8095	262.02655	276.0867	146.22551
5	1347	2799.3125	7803.106	349.8385	7107.186	1214.5428	3822.5598	1126.3904	6073.9956	1331.221	644.1322	1860.5687	1298.1577	3863.603	4427.79	1620.7953	1208.1704	618.18915	904.72675	691.5457
6	1496	10929.936	3831.9636	1685.5476	4504.6665	5686.195	7686.1387	5546.095	3536.4512	6729.406	4222.302	6834.152	5837.4614	8567.104	4662.103	6100.4844	4661.6025	2798.5828	3797.6243	2080.8691
7	857	23989.965	4659.7266	3743.7136	5836.209	12689.104	19306.09	21188.826	6142.5093	17624.195	22370.422	17175.656	17152.873	26283.553	10232.396	36652.33	12152.944	7689.406	8443.679	7143.128
8	1000	5197.3374	2005.4536	1246.426	3338.9817	3559.3733	4772.707	1937.5804	1813.9219	3087.2896	1967.6755	4587.974	3230.1587	5291.1523	3742.7498	2694.298	4014.5706	2877.8425	4080.7607	1091.9144
9	1631	178.79308	120.49661	55.010117	129.85362	141.00696	263.2756	88.30912	121.54545	134.74843	79.36658	216.73622	131.30806	272.03745	188.96219	109.303276	175.1789	109.811325	113.99303	56.00911
10	1618	7.5653806	6.0164924	6.2751856	7.3297234	10.985439	13.799982	3.1818922	6.5123444	6.968487	4.2872972	15.92244	7.6790466	31.812521	13.17999	6.3242383	14.53127	11.316857	9.832124	3.3426077
11	964	3165.0132	1214.3976	625.96875	1095.6877	1930.6	2660.9888	1055.7725	1010.0945	1588.2258	945.4412	1921.7821	1703.5729	2619.9626	2020.3514	1379.9594	1649.4904	1300.3062	1525.9203	754.67896
12	183	2047.8634	234.77933	198.93716	326.1844	569.3329	692.0437	321.63126	258.24872	1574.9482	23214.537	1226.7766	988.3921	662.40826	218.87576	508.52142	529.3564	222.05467	406.59982	1226.3416
13	976	1598.6986	550.4021	291.385	685.05566	933.7199	1522.2948	762.6827	539.9639	970.2236	674.5997	1215.6979	973.06024	1582.7546	873.8675	815.3517	879.5173	512.599	641.547	363.04242
14	577	1827.4327	527.27966	645.5226	500.28406	1494.3772	1322.2007	633.21625	422.76617	931.6766	804.7796	2450.8174	1870.2906	1636.5905	672.7857	636.3997	1397.7802	3783.2625	2245.117	650.103
