gene_cluster	n_genes	eta_squared_id.accession	eta_squared_investigation.study.comment.project identifier	eta_squared_tissue_inferred	eta_squared_condition_inferred
0	2574	0.805278131191813	0.5273295001210635	0.5556294468151981	0.1556561693910408
1	1802	0.8009424927462548	0.5873697308568239	0.40359838876547105	0.1751262317939971
2	1954	0.6247310335246565	0.48466200779794993	0.2914281093653148	0.08560077340579944
3	1721	0.8700640442533041	0.6171677981358785	0.577691736994789	0.18343011794285008
4	2310	0.8024162218559941	0.579104038382677	0.4607066546885297	0.18145839429664662
5	1347	0.8691500150366338	0.27671214076218376	0.5984880004158939	0.06198207226304127
6	1496	0.791810631886377	0.5220000025165481	0.5269982491981834	0.156765393751145
7	857	0.8551807638774701	0.4294408637032328	0.6056099831630669	0.029730896162269756
8	1000	0.8372658474060056	0.6088091707007662	0.5151620472395564	0.2153430103742087
9	1631	0.8409017163085145	0.5769823035790433	0.5091078795130252	0.17440306056982932
10	1618	0.8351948063792457	0.5940918189216634	0.5332997100907203	0.1583994950097879
11	964	0.7635380886983347	0.46571554709495566	0.39755898321676214	0.1050919822292576
12	183	0.9212086841080723	0.47242770977901505	0.7701653919094614	0.00828414341600141
13	976	0.7869649454669867	0.5356718958487636	0.4949667381042095	0.16228343789457125
14	577	0.7942564166350742	0.27904567896155263	0.5618067612298687	0.04242110513678765
