path	bytes	sha256
paper/synthetic_guided_spaceflight/figures/figure_1_generator_validation.pdf	30379	d868885c2457dfb0b40ec84f016c907d2e077e14e6ba8ba911d2c0d456b13227
paper/synthetic_guided_spaceflight/figures/figure_1_generator_validation.png	189847	457ab44f2a0c74b7287e63186ce02603562841e8781833ffaea9cdba6a8a0fb2
paper/synthetic_guided_spaceflight/figures/figure_2a_archs4_denoising_trajectory.pdf	198665	9b3aa03804f2af5ee041b21515007fab67f69162a25e38c93f7ee4e8014c0963
paper/synthetic_guided_spaceflight/figures/figure_2a_archs4_denoising_trajectory.png	744958	cdcfe5b1b4818bce42868f1cc53c30194a71ebc9289d2402a5ada1af63bfdfe0
paper/synthetic_guided_spaceflight/figures/figure_2b_locked_real_vs_synthetic_pca.pdf	52376	4ffe54156ac8f89bb38797c3bb8f941d48fd4808d0c54c16101bd1a55b00b181
paper/synthetic_guided_spaceflight/figures/figure_2b_locked_real_vs_synthetic_pca.png	415034	a01df872b6919ba8e27a80cd4e16a919e14b7659d135a8341ec1769332b613e6
paper/synthetic_guided_spaceflight/figures/figure_3_thymus_biology.pdf	32594	41f606cd14ef8333ef975507855701f2fc23592e9630f069992cbd69b6ec0921
paper/synthetic_guided_spaceflight/figures/figure_3_thymus_biology.png	189925	11410ab1be3d91f95aa66a74fb724d0478b99aebd16aeaa54c616498c97f7aa6
paper/synthetic_guided_spaceflight/figures/figure_4_soleus_biology.pdf	31113	f821ba2c17398d76583146b65efa7d7240ae31b7dc25c3831ab7fb6133d30931
paper/synthetic_guided_spaceflight/figures/figure_4_soleus_biology.png	176084	22c23d6e177c6b64663809b476981e763d07bdb6541e48d81c0a0894260f0a6a
paper/synthetic_guided_spaceflight/figures/figure_5_tissue_evidence.pdf	34609	702959c0f4e9cf8875735111761cded055ace08b83e3eba10ee988e66ebfa1af
paper/synthetic_guided_spaceflight/figures/figure_5_tissue_evidence.png	349303	d7790a63643c5f5064978dd42dc7733f55d441203f904a716b662ccfa8ce545e
paper/synthetic_guided_spaceflight/figures/figure_s1_muscle_arm_heatmap.pdf	22788	643f8313a30015731ed3c68604881373f4d5caaff75778d1c42478a47bc44d72
paper/synthetic_guided_spaceflight/figures/figure_s1_muscle_arm_heatmap.png	116595	9d8c7a91032d39df41d522dbe080c6c252e1d88aec0c77d870c1c0e23a38aad2
paper/synthetic_guided_spaceflight/figures/figure_s2_downstream_utility.pdf	29945	041dd307d84ea4c308d01f2c951b7edcfc229355151f6162bc518fb109fc4220
paper/synthetic_guided_spaceflight/figures/figure_s2_downstream_utility.png	163083	8ed2447af8f7c0296e8b8d485cf4b9fc4c2ac82c43f721f75ffd971a505636de
