source_id	citation	year	doi	url	evidence_role	data_relationship	literature_search_date
horie_2019_thymus	Horie K, Kato T, Kudo T, et al. Impact of spaceflight on the murine thymus and mitigation by exposure to artificial gravity during spaceflight. Scientific Reports. 2019;9:19866.	2019	10.1038/s41598-019-56432-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC6934594/	Two-mission mouse thymus RNA-seq with exact cyclin results and process-level cell-cycle evidence.	Published OSDR-related source cohorts; independence from the present aggregate is not assumed.	2026-08-03
gridley_2009_thymus_spleen	Gridley DS, Slater JM, Luo-Owen X, et al. Spaceflight effects on T lymphocyte distribution, function and gene expression. Journal of Applied Physiology. 2009;106:194-202.	2009	10.1152/japplphysiol.91126.2008	https://pmc.ncbi.nlm.nih.gov/articles/PMC2636934/	STS-118 thymus gene panel and spleen immune phenotyping; reported flight-higher Birc5.	Independent shuttle mission and targeted expression platform relative to the present bulk RNA-seq aggregate.	2026-08-03
allen_2009_muscle	Allen DL, Bandstra ER, Harrison BC, et al. Effects of spaceflight on murine skeletal muscle gene expression. Journal of Applied Physiology. 2009;106:582-595.	2009	10.1152/japplphysiol.90780.2008	https://pmc.ncbi.nlm.nih.gov/articles/PMC2644242/	STS-108 gastrocnemius microarray and PCR study; reported higher Nfkbia and C/EBP-delta after flight.	Independent shuttle mission and microarray/PCR platform relative to the present RNA-seq aggregate.	2026-08-03
li_2023_muscle	Li K, Desai R, Scott RT, et al. Explainable machine learning identifies multi-omics signatures of muscle response to spaceflight in mice. npj Microgravity. 2023;9:95.	2023	10.1038/s41526-023-00337-5	https://pmc.ncbi.nlm.nih.gov/articles/PMC10719374/	OSDR muscle multi-omics study linking spaceflight to calcium handling and listing Klhl21 among tibialis-anterior model features.	Uses public OSDR muscle cohorts; treated as related evidence rather than independent validation.	2026-08-03
new_2003_mapkapk5	New L, Jiang Y, Han J. Regulation of PRAK subcellular location by p38 MAP kinases. Molecular Biology of the Cell. 2003;14:2603-2616.	2003	10.1091/mbc.E02-08-0538	https://pmc.ncbi.nlm.nih.gov/articles/PMC194907/	Primary mechanistic evidence that MAPKAPK5/PRAK functions downstream of stress-responsive p38 signaling.	Mechanistic context only; not a spaceflight or skeletal-muscle replication study.	2026-08-03
yao_2018_reep5	Yao L, Xie D, Geng L, et al. REEP5 acts as a sarcoplasmic reticulum membrane sculptor to modulate cardiac function. Journal of the American Heart Association. 2018;7:e007205.	2018	10.1161/JAHA.117.007205	https://pubmed.ncbi.nlm.nih.gov/29431104/	Primary evidence connecting REEP5 to sarcoplasmic-reticulum architecture and calcium handling.	Mechanistic cardiac-muscle context only; not a spaceflight skeletal-muscle replication.	2026-08-03
vitadello_2020_unloading	Vitadello M, Sorge M, Percivalle E, et al. Loss of melusin is a novel, neuronal NO synthase/FoxO3-independent master switch of unloading-induced muscle atrophy. Journal of Cachexia, Sarcopenia and Muscle. 2020;11:802-819.	2020	10.1002/jcsm.12546	https://pmc.ncbi.nlm.nih.gov/articles/PMC7296270/	Primary evidence that an integrin-associated mechanotransduction protein responds to unloading and modifies muscle atrophy.	Ground unloading and mechanistic context only; ITGB5 itself was not tested.	2026-08-03
liu_2019_fhl2	Liu Z, Han S, Wang Y, et al. The LIM-only protein FHL2 is involved in autophagy to regulate the development of skeletal muscle cell. International Journal of Biological Sciences. 2019;15:838-846.	2019	10.7150/ijbs.31371	https://pmc.ncbi.nlm.nih.gov/articles/PMC6429013/	Primary evidence linking FHL2 to myogenic differentiation and autophagy.	Mechanistic muscle context only; not a spaceflight replication study.	2026-08-03
cope_2024_skin	Cope H, Elsborg J, Demharter S, et al. Transcriptomics analysis reveals molecular alterations underpinning spaceflight dermatology. Communications Medicine. 2024;4:106.	2024	10.1038/s43856-024-00532-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11166967/	Multi-study OSDR skin analysis reporting immune, barrier, mitochondrial, collagen, and DNA-repair responses.	Uses public OSDR skin cohorts; treated as related evidence rather than independent validation.	2026-08-03
dong_2004_plscr1	Dong B, Zhou Q, Zhao J, et al. Phospholipid scramblase 1 potentiates the antiviral activity of interferon. Journal of Virology. 2004;78:8983-8993.	2004	10.1128/JVI.78.17.8983-8993.2004	https://pubmed.ncbi.nlm.nih.gov/15308695/	Primary evidence that PLSCR1 is interferon inducible and amplifies a subset of interferon-stimulated genes.	Mechanistic immune context only; not a spaceflight skin replication.	2026-08-03
