analysis_scope	tissue	bh_family_size	n_bh_fdr_genes	n_flt_higher	n_flt_lower	n_unanimous_direction	n_directionally_heterogeneous	n_reinforced_real_and_synthetic	n_synthetic_promoted	n_real_only_selected	n_synthetic_selected_direction_discordant	n_not_stably_selected	n_loo_fdr_stable_0_05	minimum_bh_fdr	median_i2
canonical_tissue	adrenal_gland	974	22	1	21	21	1	1	1	1	0	19	0	1.4451984911601137e-06	0.0
canonical_tissue	bone	974	0	0	0	0	0	0	0	0	0	0	0	NA	NA
canonical_tissue	bone_marrow	974	0	0	0	0	0	0	0	0	0	0	0	NA	NA
canonical_tissue	brain	974	0	0	0	0	0	0	0	0	0	0	0	NA	NA
canonical_tissue	brown_adipose_tissue	974	0	0	0	0	0	0	0	0	0	0	0	NA	NA
canonical_tissue	cecum	974	0	0	0	0	0	0	0	0	0	0	0	NA	NA
canonical_tissue	cerebellum	974	0	0	0	0	0	0	0	0	0	0	0	NA	NA
canonical_tissue	colon	974	0	0	0	0	0	0	0	0	0	0	0	NA	NA
canonical_tissue	eye	974	8	4	4	8	0	1	0	1	0	6	0	5.987559332400223e-05	0.0
canonical_tissue	heart	974	4	2	2	4	0	0	0	0	0	4	0	1.2561408024424414e-14	0.0
canonical_tissue	hippocampus	974	0	0	0	0	0	0	0	0	0	0	0	NA	NA
canonical_tissue	kidney	974	3	3	0	1	2	1	1	1	0	0	1	3.362888946744105e-05	0.0445330273866426
canonical_tissue	liver	974	19	8	11	0	19	0	0	3	0	16	3	1.7847808421231017e-05	0.0375223073330727
canonical_tissue	lung	974	0	0	0	0	0	0	0	0	0	0	0	NA	NA
canonical_tissue	mammary_gland	974	0	0	0	0	0	0	0	0	0	0	0	NA	NA
canonical_tissue	optic_nerve	974	0	0	0	0	0	0	0	0	0	0	0	NA	NA
canonical_tissue	retina	974	5	5	0	5	0	0	0	1	0	4	0	0.0237821834980075	0.0
canonical_tissue	skeletal_muscle	974	26	12	14	5	21	8	4	2	0	12	13	1.8740564028665187e-05	0.7777755744822845
canonical_tissue	skin	974	3	2	1	1	2	0	1	0	0	2	0	0.0036743534153061	0.0
canonical_tissue	spleen	974	34	32	2	21	13	1	3	1	2	27	1	1.7592185680837806e-09	0.0
canonical_tissue	thymus	974	78	37	41	57	21	3	13	4	4	54	18	5.75328823327633e-16	0.5736790467067523
canonical_tissue	white_adipose_tissue	974	0	0	0	0	0	0	0	0	0	0	0	NA	NA
skeletal_muscle_group	edl	974	136	14	122	130	6	0	0	8	0	128	0	1.4261246826919443e-24	0.0
skeletal_muscle_group	gastrocnemius	974	15	8	7	13	2	0	2	2	0	11	0	3.353787855161249e-16	0.0
skeletal_muscle_group	quadriceps	974	29	25	4	22	7	0	0	6	0	23	4	2.789258955269685e-07	0.0
skeletal_muscle_group	soleus	974	29	5	24	27	2	5	0	3	0	21	11	1.1073485447020053e-33	0.0
skeletal_muscle_group	tibialis_anterior	974	48	42	6	48	0	3	1	1	0	43	0	3.3987035424299236e-26	0.0
